foursquare_id,name,address,latitude,longitude,url,category,phone_number,check_ins,rating,url_provided,url_provided_verified,url_found,get_hh_attempts,deals_confirmations,stage,hit_id,date_completed,monday_start_time,monday_end_time,monday_description,tuesday_start_time,tuesday_end_time,tuesday_description,wednesday_start_time,wednesday_end_time,wednesday_description,thursday_start_time,thursday_end_time,thursday_description,friday_start_time,friday_end_time,friday_description,saturday_start_time,saturday_end_time,saturday_description,sunday_start_time,sunday_end_time,sunday_description,comments
4c59ebf1d3aee21e8b766955,Desperados,"1342 U St NW (at 13th St NW)
Washington, D.C. 20009
United States",38.91703389578584,-77.03124464578171,http://www.desperadosburger.com/,Bar,(202) 299-0443,2514,7.1,http://desperadosburgersbar.com,False,True,0,2,8,3VLL1PIENPNTOM9YVVMZN8G9R0XZOX,,17:00,20:00,$3.50 for Rail Drinks&#10;$3.00 for Beers,17:00,20:00,$3.50 for Rail Drinks&#10;$3.00 for Beers,17:00,20:00,$3.50 for Rail Drinks&#10;$3.00 for Beers,17:00,20:00,$3.50 for Rail Drinks&#10;$3.00 for Beers,17:00,20:00,$3.50 for Rail Drinks&#10;$3.00 for Beers,17:00,20:00,$3.50 for Rail Drinks&#10;$3.00 for Beers,17:00,20:00,$3.50 for Rail Drinks&#10;$3.00 for Beers,
4b76267ef964a52036402ee3,Vinoteca Wine Bar &amp; Bistro,"1940 11th St NW (at U St NW)
Washington, D.C. 20001
United States",38.916760472644974,-77.02724112270266,http://www.vinotecadc.com,Wine Bar,(202) 332-9463,10509,8.6,http://www.vinotecadc.com,True,,0,2,8,3S829FDFT10DFUIU44KYFTOZFMTXD2,,17:00,19:00,"Enjoy 15 wines, $5 a glass, $5 peroni draft",17:00,19:00,"Enjoy 15 wines, $5 a glass, $5 peroni draft",17:00,19:00,"Enjoy 15 wines, $5 a glass, $5 peroni draft",17:00,19:00,"Enjoy 15 wines, $5 a glass, $5 peroni draft",17:00,19:00,"Enjoy 15 wines, $5 a glass, $5 peroni draft",17:00,19:00,"Enjoy 15 wines, $5 a glass, $5 peroni draft",17:00,19:00,"Enjoy 15 wines, $5 a glass, $5 peroni draft",
