2902,Sotto,http://www.sottodc.com,Logan Circle,http://www.sottodc.com/
2471,The Greene Turtle,http://www.thegreeneturtle.com,Downtown,http://www.thegreeneturtle.com/happy-hour
2617,Stonefish Grill,http://www.thestonefishgrill.com,Downtown,http://www.thestonefishgrill.com
2617,Stonefish Grill,http://www.thestonefishgrill.com,Downtown,http://www.thestonefishgrill.com/
2832,Town Hall,http://www.townhalldc.com,Friendship Heights,http://www.townhalldc.com/news/
3013,UltraBar,http://www.ultrabardc.com,Downtown,http://www.ultrabardc.com/blog/tag/friday-night-in-dc
2727,Urbana,http://www.urbanadc.com,Dupont Circle,http://www.urbanadc.com/events/events.htm
2934,DC Boathouse,http://www.dcboathouserestaurant.com/,West DC,https://dcboathouserestaurant.com/events/
2970,Fogo de Chao,http://www.fogodechao.com/,Downtown,https://fogodechao.com/sites/default/files/bar_fogo/happy_hour_pdf/Menu_HH_ONLINE_Jun16_fnl.pdf
2698,Luna Grill & Diner,http://www.lunagrillanddiner.com,Dupont Circle,https://www.lunagrillanddiner.com/brunch/some-of-the-best-deals-in-town/
2951,Austin Grill,http://www.austingrill.com,Downtown,http://austingrill.com/content/events
2586,"Joe's Seafood, Prime Steak and Stone Crab",http://www.joes.net/?loc=dc,Downtown,http://joes.net/special-events/cocktail-hours/
2526,Kangaroo Boxing Club,http://www.kangaroodc.com,Columbia Heights,http://kangaroodc.com/wp-content/uploads/2015/05/Drink-Menu-5-29.pdf
2361,Mellow Mushroom Pizza Bakers,http://www.mellowmushroom.com/store/adams-morgan.com,Adams Morgan,http://mellowmushroom.com/store/adams-morgan
2318,1331 Restaurant & Lounge,,Downtown,http://www.1331-york.co.uk/assets/2-4-1.pdf
2841,Dangerously Delicious Pies,http://www.dangerouspiesdc.com,H Street,http://www.dangerouspiesdc.com/events-and-specials
2336,Duplex Diner,http://www.duplexdiner.com,Adams Morgan,http://www.duplexdiner.com/special-events.html
2574,Elephant & Castle,http://www.elephantcastle.com,Downtown,http://www.elephantcastle.com/dc_eye
3107,The Fainting Goat,http://www.faintinggoatdc.com,U Street,http://www.faintinggoatdc.com/special-events/
3023,Fig & Olive,http://www.figandolive.com,Downtown,http://www.figandolive.com/wp-content/uploads/DC_APERITIVO.pdf
2456,La Piquette,http://www.lapiquettedc.com,Friendship Heights,http://www.lapiquettedc.com/
3067,Mad Hatter,http://www.madhatterdc.com,Dupont Circle,http://www.madhatterdc.com/events
