ID,Name,Categories,,,,,,Neighborhoods
2971,Cuba Libre Restaurant & Rum Bar,Cuban,Lounges,,,,
2997,Sushi Aoi,Japanese,,,,,
2685,Kramerbooks & Afterwords Cafe,Cafes,Desserts,Breakfast & Brunch,,,,Dupont Circle
2694,Rosemary's Thyme Bistro,Greek,Mediterranean,Turkish,,,,Dupont Circle
2969,Co Co. Sala,American (New),Chocolatiers & Shops,Lounges,,,
2684,Pizzeria Paradiso,Pizza,,,,,,Dupont Circle
2845,Khan's Bar & Grill,Mongolian,,,,,,H Street Corridor/Atlas District/Near Northeast
2397,Smith Public Trust,American (New),Pubs,,,,,Brookland
3026,Bistro Bohem,Breakfast & Brunch,Modern European,Diners,,,,Shaw
3027,Chaplin,Cocktail Bars,Ramen,,,,,Shaw
2437,Mr. Henry's Restaurant,American (New),,,,,,Capitol Hill
2790,Gypsy Sally's,Music Venues,Bars,,,,,Georgetown
2698,Luna Grill & Diner,Diners,American (New),Breakfast & Brunch,,,,Dupont Circle
2699,M Street Bar & Grill,American (New),Bars,Latin American,,,
2723,Tabard Inn,American (Traditional),Breakfast & Brunch,,,,,Dupont Circle
2715,Ruth's Chris Steak House,Steakhouses,,,,,,Crystal City
2318,1331 Restaurant & Lounge,American (New),Lounges,,,,
2380,El Camino,Mexican,,,,,,Bloomingdale
3045,Cafe 8,Mediterranean,,,,,,Capitol Hill
2974,Haad Thai,Thai,,,,,
3140,Tadich Grill,Seafood,,,,,
2611,Post Pub,Pubs,American (Traditional),Dive Bars,,,
2717,Scion,American (New),,,,,,Dupont Circle
2718,Sette Osteria,Italian,,,,,,Dupont Circle
2683,Pesce,Seafood,,,,,,Dupont Circle
3008,Plan B Burger Bar,Burgers,Bars,American (New),,,,Penn Quarter
2433,Lavagna,Italian,,,,,,Capitol Hill
3232,Mad Fox Taproom,American (New),Breweries,,,,,Glover Park
2354,The High Dive,Dive Bars,Pubs,,,,,Adams Morgan
2504,Fat Pete's Barbecue,Barbeque,,,,,,Cleveland Park
3168,Woodley Cafe,American (Traditional),,,,,,Woodley Park
2659,La Tomate,Italian,,,,,,Dupont Circle
2608,Ozio Restaurant & Lounge,Lounges,,,,,,Dupont Circle
3233,Fadó Irish Pub & Restaurant,Irish,Irish Pub,,,,,Chinatown
2682,James Hoban's Irish Restaurant & Bar,Irish,Pubs,,,,,Dupont Circle
2748,Notti Bianche,Italian,,,,,,Foggy Bottom
2852,Halftime Sports Bar,Sports Bars,,,,,
2814,Ristorante La Perla,Italian,Seafood,,,,
2839,Cusbah,Pakistani,Indian,American (New),,,,H Street Corridor/Atlas District/Near Northeast
3254,DC Eagle,Bars,Adult Entertainment,,,,
2401,201 Bar,Bars,American (Traditional),Venues & Event Spaces,,,,Capitol Hill
2612,Recessions,Dive Bars,Pool Halls,American (New),,,
3021,Red Derby,Dive Bars,Breakfast & Brunch,Burgers,,,
2514,The Airedale,Gastropubs,,,,,,Columbia Heights
3111,Provision No. 14,Cocktail Bars,American (New),,,,,U Street Corridor
2893,Cork,Wine Bars,Tapas/Small Plates,,,,,Logan Circle
2565,Finn & Porter,American (Traditional),,,,,
2629,Bar Dupont,Bars,American (New),,,,,Dupont Circle
2393,Dew Drop Inn,Dive Bars,,,,,
2621,Zentan,Japanese,Cocktail Bars,,,,
2568,Daily Grill,American (Traditional),,,,,
2609,Panache Restaurant,Tapas Bars,Modern European,,,,
3122,Nellie's Sports Bar,Gay Bars,Sports Bars,American (Traditional),,,
2593,Lincoln,American (New),Desserts,Bars,,,
2321,Angles Bar & Billiards,Pool Halls,American (New),Pubs,,,,Adams Morgan
2526,Kangaroo Boxing Club,American (Traditional),Barbeque,Pubs,,,,Columbia Heights
3010,Rosa Mexicano,Mexican,,,,,,Penn Quarter
2990,Pinea,Mediterranean,,,,,
2865,The Big Board,Burgers,Bars,,,,,H Street Corridor/Atlas District/Near Northeast
2836,Biergarten Haus,German,Bars,Beer Gardens,,,
2760,Le Chat Noir,French,Creperies,,,,,Tenleytown
2797,Peacock Cafe,American (New),Cafes,,,,,Georgetown
2758,Jake's American Grille,American (New),Bars,,,,,Chevy Chase
2767,Bodega,Tapas Bars,Spanish,,,,,Georgetown
2575,Equinox,American (New),,,,,
2911,Tortino Restaurant,Italian,,,,,,Logan Circle
2843,Impala Cantina,Mexican,,,,,
2491,Penn Commons,American (New),Southern,,,,
2457,Absolute Thai,Thai,,,,,
2422,Hawk 'n' Dove,Bars,American (Traditional),,,,,Capitol Hill
