ID,Name,Categories,,,,,,Neighborhoods
2411,Bullfeathers,American (Traditional),American (New),,,,,Capitol Hill
2579,Georgia Brown's,Southern,,,,,
3155,Ris,American (New),American (Traditional),Cocktail Bars,,,,West End
3163,Lebanese Taverna,Lebanese,,,,,,Woodley Park
2668,Gazuza Lounge,Hookah Bars,Lounges,,,,,Dupont Circle
2522,The Heights,American (New),,,,,,Columbia Heights
2821,Arcuri,American (New),Pizza,,,,,Glover Park
2650,DGS Delicatessen,Delis,,,,,,Dupont Circle
2688,Lauriol Plaza Restaurant,Mexican,Latin American,Spanish,,,,Dupont Circle
2403,Ambar Balkan Cuisine,Modern European,,,,,,Capitol Hill
2409,Beuchert's Saloon,Bars,American (New),Breakfast & Brunch,,,,Capitol Hill
2584,P.J. Clarke's,American (Traditional),Burgers,,,,
2925,Scarlet Oak,American (New),,,,,,Navy Yard
2928,Todd Gray's Watershed,American (New),Seafood,Breakfast & Brunch,,,,NoMa
2416,Capitol Lounge,Lounges,,,,,,Capitol Hill
2536,The Pinch,Dive Bars,Music Venues,American (Traditional),,,,Columbia Heights
2924,Kruba Thai & Sushi,Sushi Bars,Thai,,,,,Navy Yard
2927,Willie's Brew & Que,Sports Bars,Barbeque,,,,,Navy Yard
2399,San Antonio Bar & Grill,Tex-Mex,,,,,
2523,Pete's New Haven Style Apizza,Pizza,,,,,,Clarendon
2505,Cleveland Park Bar & Grill,Sports Bars,American (New),,,,,Cleveland Park
2552,Cafe Soleil,French,American (New),,,,
2521,Marx Cafe,Bars,Italian,Greek,,,,Mount Pleasant
2559,Edgar Bar and Kitchen,American (New),,,,,
2558,Eden,Dance Clubs,,,,,
2884,Avenue Cafe & Lounge,Venues & Event Spaces,American (Traditional),Professional Services,,,,Logan Circle
3023,Fig & Olive,French,Italian,Mediterranean,,,
2905,Number Nine,Gay Bars,,,,,,Logan Circle
2431,Johnny's Half Shell,Seafood,,,,,
3051,The Ugly Mug,American (Traditional),Pubs,Sports Bars,,,,Capitol Hill
3056,Station 4,American (New),Bars,Breakfast & Brunch,,,
3156,Westend Bistro,American (New),,,,,,West End
2964,Carmine's,Italian,,,,,,Penn Quarter
2965,Pi Pizzeria,Pizza,,,,,
2979,Ella's Wood-Fired Pizza,Pizza,,,,,
3022,Dulcinea Bar and Grill,Mexican,,,,,
3135,Tesoro Restaurant,Italian,,,,,,Van Ness/Forest Hills
3136,Bar Deco,American (New),"Beer, Wine & Spirits",,,,
3132,Tico DC,Mexican,Tapas/Small Plates,Latin American,,,,U Street Corridor
2695,Salty Dog Tavern,Bars,American (New),,,,,Dupont Circle
3060,Bread & Salt,Desserts,American (New),Breakfast & Brunch,,,,Tenleytown
3128,Solly's U Street Tavern,Music Venues,Bars,,,,,U Street Corridor
3069,1905 Restaurant,American (New),,,,,,Shaw
2687,Larry's Lounge,Lounges,Gay Bars,,,,,Dupont Circle
2677,Mourayo,Greek,Seafood,Mediterranean,,,
3131,Taqueria Nacional,Mexican,Vegetarian,Gluten-Free,,,,U Street Corridor
3175,Slate Wine Bar + Bistro,Wine Bars,American (New),,,,,Glover Park
2939,Sur la Place,Belgian,,,,,,Palisades
2713,Rebellion,Bars,,,,,,Dupont Circle
3230,Harry's Restaurant,Dive Bars,American (Traditional),,,,
2842,DC Harvest,American (New),,,,,,H Street Corridor/Atlas District/Near Northeast
2956,Boss Shepherd's Restaurant & Whiskey Bar,Restaurants,Pubs,,,,
2724,Thai Chef,Thai,Sushi Bars,,,,,Dupont Circle
2727,Urbana,Italian,Pizza,Cocktail Bars,,,,Dupont Circle
2729,Senart's Oyster & Chop House,Seafood,Breakfast & Brunch,Steakhouses,,,,Capitol Hill
2711,The Palm Restaurant,Steakhouses,Seafood,,,,,Dupont Circle
2652,Dirty Martini,American (New),Lounges,Mediterranean,,,,Dupont Circle
2606,Nooshi,Sushi Bars,,,,,
2702,Maddy's Bar and Grille,Bars,American (Traditional),,,,
2704,Sushi Taro,Sushi Bars,Japanese,,,,,Dupont Circle
3144,Al Dente,Pizza,Italian,,,,
2705,Mission,Mexican,Cocktail Bars,,,,,Dupont Circle
2799,Los Cuates,Mexican,,,,,,Georgetown
3203,1831 Bar and Lounge,Lounges,,,,,
2795,Il Canale,Italian,Pizza,,,,,Georgetown
2796,J. Paul's,American (Traditional),Breakfast & Brunch,Pretzels,,,,Georgetown
2813,Rí Rá,Burgers,Irish Pub,,,,,Georgetown
3143,Rappahanock Oyster Bar,Seafood,Bars,,,,
3145,Asia 54,Vietnamese,Sushi Bars,Thai,,,
3150,Juniper,American (Traditional),Street Vendors,,,,,West End
2992,Red Apron Butchery,Butcher,,,,,,Penn Quarter
3061,Guapo's,Mexican,Tex-Mex,,,,,Tenleytown
2557,Catch 15,Bars,Italian,Seafood,,,
2837,Boundary Road Restaurant,American (Traditional),,,,,,H Street Corridor/Atlas District/Near Northeast
3169,Open City,American (Traditional),Diners,Pizza,,,,Woodley Park
2863,Vendetta,Bars,American (New),,,,,H Street Corridor/Atlas District/Near Northeast
2430,Nana Thai,Thai,Sushi Bars,,,,,Capitol Hill
2878,Touché,American (New),,,,,,H Street Corridor/Atlas District/Near Northeast
3112,Pure Lounge,Lounges,Music Venues,Social Clubs,,,,U Street Corridor
2853,The Pursuit Wine Bar,Wine Bars,,,,,
3126,Policy Restaurant & Lounge,American (New),Bars,Breakfast & Brunch,,,,U Street Corridor
3114,Local 16,Lounges,American (New),,,,,U Street Corridor
3117,Marvin,Lounges,Belgian,Southern,,,,U Street Corridor
3133,Vinoteca Wine Bar & Bistro,Wine Bars,American (New),,,,,U Street Corridor
3098,Dino's Grotto,Italian,Wine Bars,,,,,U Street Corridor
3096,Desperados,Burgers,,,,,,U Street Corridor
2542,Bobby Van's Grill,American (Traditional),Steakhouses,Seafood,,,
3183,Shenanigan's Irish Pub,Pubs,Irish,,,,,Adams Morgan
3104,El Centro D.F.,Mexican,Bars,,,,
2357,Pop's SeaBar,Dive Bars,Seafood,Fish & Chips,,,,Adams Morgan
3164,LiLLiES Restaurant & Bar,Mediterranean,Bars,Italian,,,,Woodley Park
2757,Maggiano's Little Italy,Italian,,,,,,Friendship Heights
2818,The Tombs,Bars,Barbeque,American (New),,,,Georgetown
2819,Tony & Joe's Seafood Place,Seafood,American (Traditional),Bars,,,
2375,Ventnor Sports Cafe,Sports Bars,American (Traditional),Chicken Wings,,,,Adams Morgan
2550,Brasserie Beck,Belgian,Modern European,,,,
2398,Menomalé Pizza Napoletana,Bars,Pizza,,,,,Brookland
2337,Columbia Station,Jazz & Blues,American (New),,,,,Adams Morgan
2872,Nomad Hookah Bar,Hookah Bars,Lounges,,,,,H Street Corridor/Atlas District/Near Northeast
2781,Hashi Sushi,Japanese,Sushi Bars,,,,,Georgetown
2352,Grill from Ipanema,Brazilian,Tapas/Small Plates,,,,,Adams Morgan
2859,The Queen Vic,Pubs,British,Fish & Chips,,,,H Street Corridor/Atlas District/Near Northeast
2793,I-Thai,Thai,Sushi Bars,,,,,Georgetown
3137,Barcelona Wine Bar,Tapas/Small Plates,Spanish,Wine Bars,,,
2960,DBGB Kitchen and Bar,American (New),French,Desserts,,,
3127,Red Lounge Bar & Grill,Lounges,Caribbean,,,,,U Street Corridor
3011,Sei,Sushi Bars,Asian Fusion,Japanese,,,,Penn Quarter
2623,Alero Restaurant,Mexican,,,,,,U Street Corridor
2624,Ankara,Mediterranean,Turkish,,,,,Dupont Circle
2625,Annie's Paramount Steakhouse,Steakhouses,,,,,,Dupont Circle
2494,R.F.D. Washington,Bars,American (Traditional),,,,,Chinatown
2747,Jardenea,American (New),,,,,,Foggy Bottom
2754,The Cheesecake Factory,Desserts,American (Traditional),,,,,Clarendon
2716,Sauf Haus Bier Hall & Garden,German,Beer Gardens,,,,,Dupont Circle
2613,Rumors,Bars,,,,,
2855,Smith Commons,American (New),,,,,,H Street Corridor/Atlas District/Near Northeast
2641,Café Citron,Latin American,Bars,Dance Clubs,,,,Dupont Circle
2642,Darlington House,American (New),Italian,,,,,Dupont Circle
3166,Medaterra,Mediterranean,,,,,,Woodley Park
3105,El Rey,Mexican,Beer Gardens,,,,,U Street Corridor
3106,Kapnos,Greek,Breakfast & Brunch,Tapas/Small Plates,,,
3107,The Fainting Goat,American (New),Bars,,,,,U Street Corridor
3138,Casa Luca,Italian,,,,,
3219,Blue 44,American (New),,,,,,Chevy Chase
3242,The Meeting Place,Karaoke,Burgers,Chicken Wings,,,
2424,Dubliner Restaurant & Pub,Pubs,Irish,,,,
2477,Irish Channel Restaurant & Pub,Pubs,Irish,Irish Pub,,,,Chinatown
